o2,u
"[-0.27561185  0.4415583  -0.961269   -0.89723253 -0.13631503 -0.09487378
 -1.4442831   0.9161279  -0.1358222  -0.1156143   0.        ]",[ 0.61541295 -0.16007543]
"[-0.2849263   0.47750247 -0.95854944 -0.8786304  -0.13631503 -0.09487378
  0.46756265  3.1240366  -0.1361028  -0.11866298  0.        ]",[0.476111  0.5623213]
"[-0.30327043  0.5194382  -0.9529045  -0.854508   -0.13631503 -0.09487378
 -2.3773994   1.7189939  -0.13722287 -0.1212338   0.        ]",[-0.7167774  -0.33942798]
"[-0.3407797   0.53294927 -0.94014317 -0.8461472  -0.13631503 -0.09487378
 -1.5875596  -0.12396234 -0.14156114 -0.11741155  0.        ]",[ 0.18759932 -0.45679322]
"[-0.36045665  0.5211545  -0.932776   -0.85346234 -0.13631503 -0.09487378
 -0.51713735 -1.2601655  -0.14427978 -0.11291073  0.        ]",[ 0.26251704 -0.28749356]
"[-0.35503712  0.484435   -0.9348522  -0.87482727 -0.13631503 -0.09487378
  1.0921421  -2.9826865  -0.14438526 -0.10913572  0.        ]",[ 0.40401515 -0.44121245]
"[-0.33508846  0.43734473 -0.94218665 -0.89929396 -0.13631503 -0.09487378
  1.0335191  -2.3268256  -0.14283256 -0.10639731  0.        ]",[-0.00930879  0.15072016]
"[-0.32121855  0.3958957  -0.9470051  -0.9182955  -0.13631503 -0.09487378
  0.43678436 -2.2335765  -0.14176954 -0.10349441  0.        ]",[-0.14563392  0.01187609]
"[-0.341049    0.36262155 -0.94004554 -0.9319365  -0.13631503 -0.09487378
 -2.5285804  -1.365683   -0.1440745  -0.09654086  0.        ]",[-0.7471618   0.20782861]
"[-0.37255022  0.31821758 -0.928012   -0.9480177  -0.13631503 -0.09487378
 -0.84931517 -3.3507657  -0.1470713  -0.08643489  0.        ]",[ 0.4116258  -0.50806314]
"[-0.4237432   0.24317105 -0.9057824  -0.9699834  -0.13631503 -0.09487378
 -4.719686   -4.467016   -0.15035325 -0.06959715  0.        ]",[-0.98235303 -0.29890147]
"[-0.47180045  0.17000195 -0.88170534 -0.9854437  -0.13631503 -0.09487378
 -0.66952103 -3.0180194  -0.15157932 -0.05351282  0.        ]",[1.         0.34382266]
"[-0.44832164  0.12281795 -0.8938723  -0.9924292  -0.13631503 -0.09487378
  3.3008137  -1.7564496  -0.1484712  -0.05251839  0.        ]",[1.       0.303721]
"[-0.3803681   0.09578416 -0.92483515 -0.9954021  -0.13631503 -0.09487378
  4.1655602  -0.9659383  -0.1433087  -0.06057884  0.        ]",[0.23504753 0.19088987]
"[-0.31212583  0.07135403 -0.95004076 -0.99745107 -0.13631503 -0.09487378
  3.1143851  -1.4839942  -0.13790031 -0.06821541  0.        ]",[-0.24482453 -0.13573036]
"[-0.21478024  0.05359939 -0.9766624  -0.9985625  -0.13631503 -0.09487378
  6.9690804  -0.29888448 -0.13002399 -0.07983008  0.        ]",[0.98964506 0.29203153]
"[-0.11789678  0.02728208 -0.99302584 -0.99962777 -0.13631503 -0.09487378
  2.874071   -2.3283508  -0.12133423 -0.08932187  0.        ]",[-1.         -0.51425403]
"[-7.1244806e-02  1.6461214e-03 -9.9745888e-01 -9.9999863e-01
 -1.3631503e-01 -9.4873779e-02  1.8160900e+00 -2.4254008e-01
 -1.1685723e-01 -9.2089139e-02  0.0000000e+00]",[-0.25287375  0.5150805 ]
"[-0.05325836  0.00814415 -0.99858075 -0.99996686 -0.13631503 -0.09487378
 -0.00784896  0.8885791  -0.11521304 -0.0948948   0.        ]",[-0.45174155  0.28437287]
"[-0.07758296  0.01294786 -0.9969859  -0.9999162  -0.13631503 -0.09487378
 -2.4218545  -0.40387014 -0.11752716 -0.09258693  0.        ]",[-0.61006767 -0.3220754 ]
"[-0.10427979  0.01229658 -0.994548   -0.9999244  -0.13631503 -0.09487378
 -0.26619476  0.33626774 -0.11996181 -0.08932872  0.        ]",[0.5326162 0.1849958]
"[-0.1080367   0.03191433 -0.9941469  -0.9994906  -0.13631503 -0.09487378
 -0.11214719  1.6217333  -0.12048341 -0.09102607  0.        ]",[0.03765176 0.32633448]
"[-0.12263095  0.07286374 -0.9924523  -0.99734193 -0.13631503 -0.09487378
 -1.3529571   2.4762824  -0.12212505 -0.09374645  0.        ]",[-0.3140537   0.22386855]
"[-0.15850058  0.11907153 -0.98735887 -0.99288565 -0.13631503 -0.09487378
 -2.2671356   2.1673849  -0.12576252 -0.09435778  0.        ]",[-0.23778635 -0.06567916]
"[-0.17520557  0.14873469 -0.9845319  -0.9888771  -0.13631503 -0.09487378
  0.5634252   0.8304557  -0.12748213 -0.09550179  0.        ]",[ 0.70386106 -0.32666466]
"[-0.13943402  0.1417056  -0.99023134 -0.9899089  -0.13631503 -0.09487378
  3.050769   -1.5330111  -0.12394414 -0.09927531  0.        ]",[ 0.6312339  -0.59262127]
"[-0.08819496  0.11179039 -0.9961032  -0.9937318  -0.13631503 -0.09487378
  2.1103733  -1.4831241  -0.11878817 -0.10221916  0.        ]",[-0.22238092  0.0048795 ]
