"[ 7.7693290e-01 -5.4696721e-01  6.2958342e-01  8.3715403e-01
 -2.2097141e-02  9.6882761e-02 -2.5874426e-06 -7.8394994e-05
 -2.7028376e-02  9.6623950e-02  0.0000000e+00]"
"[ 7.7693290e-01 -5.4696608e-01  6.2958342e-01  8.3715481e-01
 -2.2097141e-02  9.6882761e-02  2.0030036e-06 -6.1384533e-05
 -2.7028328e-02  9.6624099e-02  0.0000000e+00]"
"[ 7.7693284e-01 -5.4696518e-01  6.2958348e-01  8.3715534e-01
 -2.2097141e-02  9.6882761e-02  4.5485672e-06 -4.2623531e-05
 -2.7028300e-02  9.6624203e-02  0.0000000e+00]"
"[ 7.7693278e-01 -5.4696459e-01  6.2958354e-01  8.3715570e-01
 -2.2097141e-02  9.6882761e-02  5.2383348e-06 -2.6380072e-05
 -2.7028287e-02  9.6624270e-02  0.0000000e+00]"
"[ 7.7693272e-01 -5.4696429e-01  6.2958366e-01  8.3715594e-01
 -2.2097141e-02  9.6882761e-02  5.2592954e-06 -1.2987894e-05
 -2.7028283e-02  9.6624315e-02  0.0000000e+00]"
"[ 7.7693266e-01 -5.4696417e-01  6.2958372e-01  8.3715606e-01
 -2.2097141e-02  9.6882761e-02  4.1002781e-06 -2.8330392e-06
 -2.7028287e-02  9.6624330e-02  0.0000000e+00]"
